time,co2
1984-07-04,315.2
1984-07-11,314.9
1984-07-18,314.5
1984-07-25,315.0
1984-08-01,315.6
1984-08-08,314.9
1984-08-15,315.4
1984-08-22,315.4
1984-08-29,315.7
1984-09-05,315.8
1984-09-12,315.7
1984-09-19,316.2
1984-09-26,316.5
1984-10-03,316.5
1984-10-10,317.0
1984-10-17,316.9
1984-10-24,317.1
1984-10-31,317.4
1984-11-07,317.9
1984-11-14,318.1
1984-11-21,318.0
1984-11-28,317.7
1984-12-05,318.0
1984-12-12,318.3
1984-12-19,318.9
1984-12-26,319.3
1985-01-02,319.2
1985-01-09,319.4
1985-01-16,319.9
1985-01-23,319.7
1985-01-30,320.2
1985-02-06,320.2
1985-02-13,321.0
1985-02-20,320.7
1985-02-27,320.3
1985-03-06,320.8
1985-03-13,320.7
1985-03-20,321.0
1985-03-27,321.1
1985-04-03,320.9
1985-04-10,320.8
1985-04-17,320.5
1985-04-24,320.1
1985-05-01,320.2
1985-05-08,320.1
1985-05-15,319.9
1985-05-22,319.0
1985-05-29,318.7
1985-06-05,318.6
1985-06-12,317.2
1985-06-19,317.4
1985-06-26,
1985-07-03,
1985-07-10,
1985-07-17,316.6
1985-07-24,315.7
1985-07-31,315.9
1985-08-07,315.1
1985-08-14,315.4
1985-08-21,315.7
1985-08-28,315.7
1985-09-04,315.9
1985-09-11,316.4
1985-09-18,316.9
1985-09-25,317.0
1985-10-02,317.1
1985-10-09,317.3
1985-10-16,317.6
1985-10-23,318.1
1985-10-30,
1985-11-06,318.5
1985-11-13,318.7
1985-11-20,318.9
1985-11-27,318.8
1985-12-04,318.7
1985-12-11,318.9
1985-12-18,
1985-12-25,319.3
1986-01-01,319.3
1986-01-08,319.7
1986-01-15,319.8
1986-01-22,320.3
1986-01-29,320.2
1986-02-05,320.3
1986-02-12,320.9
1986-02-19,322.0
1986-02-26,321.9
1986-03-05,
1986-03-12,321.9
1986-03-19,322.2
1986-03-26,322.2
1986-04-02,322.3
1986-04-09,322.0
1986-04-16,321.8
1986-04-23,320.8
1986-04-30,320.4
1986-05-07,320.1
1986-05-14,319.8
1986-05-21,319.5
1986-05-28,319.0
1986-06-04,318.6
1986-06-11,318.2
1986-06-18,317.7
1986-06-25,317.1
1986-07-02,316.4
1986-07-09,316.8
1986-07-16,315.9
1986-07-23,316.0
1986-07-30,315.9
1986-08-06,316.2
1986-08-13,315.6
1986-08-20,316.1
1986-08-27,316.3
1986-09-03,316.6
1986-09-10,316.8
1986-09-17,317.1
1986-09-24,
1986-10-01,317.5
1986-10-08,318.0
1986-10-15,318.2
1986-10-22,318.5
1986-10-29,318.7
1986-11-05,319.0
1986-11-12,319.4
1986-11-19,319.8
1986-11-26,
1986-12-03,
1986-12-10,
1986-12-17,
1986-12-24,
1986-12-31,
1987-01-07,
1987-01-14,
1987-01-21,
1987-01-28,
1987-02-04,
1987-02-11,
1987-02-18,
1987-02-25,
1987-03-04,
1987-03-11,
1987-03-18,
1987-03-25,
1987-04-01,322.0
1987-04-08,322.0
1987-04-15,
1987-04-22,
1987-04-29,321.5
1987-05-06,321.1
1987-05-13,319.9
1987-05-20,320.2
1987-05-27,320.0
1987-06-03,319.1
1987-06-10,
1987-06-17,318.6
1987-06-24,318.2
1987-07-01,318.1
1987-07-08,317.4
1987-07-15,316.5
1987-07-22,315.5
1987-07-29,317.0
1987-08-05,316.9
1987-08-12,316.5
1987-08-19,316.8
1987-08-26,317.0
1987-09-02,317.6
1987-09-09,317.7
1987-09-16,317.6
1987-09-23,317.5
1987-09-30,318.1
1987-10-07,318.4
1987-10-14,318.5
1987-10-21,318.9
1987-10-28,318.9
1987-11-04,319.0
1987-11-11,319.1
1987-11-18,319.1
1987-11-25,319.7
1987-12-02,320.1
1987-12-09,320.2
1987-12-16,320.1
1987-12-23,320.7
1987-12-30,320.8
1988-01-06,321.0
1988-01-13,320.9
1988-01-20,320.4
1988-01-27,321.4
1988-02-03,321.9
1988-02-10,322.2
1988-02-17,322.1
1988-02-24,321.8
1988-03-02,322.4
1988-03-09,322.2
1988-03-16,321.9
1988-03-23,321.6
1988-03-30,322.2
1988-04-06,321.8
1988-04-13,321.7
1988-04-20,321.7
1988-04-27,321.9
1988-05-04,321.9
1988-05-11,321.8
1988-05-18,321.7
1988-05-25,320.4
1988-06-01,319.4
1988-06-08,319.4
1988-06-15,318.0
1988-06-22,318.8
1988-06-29,318.7
1988-07-06,318.3
1988-07-13,318.0
1988-07-20,318.2
1988-07-27,316.8
1988-08-03,316.6
1988-08-10,317.2
1988-08-17,317.8
1988-08-24,317.5
1988-08-31,317.6
1988-09-07,318.3
1988-09-14,319.2
1988-09-21,318.9
1988-09-28,319.1
1988-10-05,319.0
1988-10-12,319.3
1988-10-19,319.3
1988-10-26,319.7
1988-11-02,319.6
1988-11-09,320.4
1988-11-16,320.6
1988-11-23,321.0
1988-11-30,321.1
1988-12-07,321.2
1988-12-14,321.7
1988-12-21,321.6
1988-12-28,321.8
1989-01-04,322.1
1989-01-11,322.1
1989-01-18,322.5
1989-01-25,322.8
1989-02-01,323.5
1989-02-08,323.6
1989-02-15,323.8
1989-02-22,323.9
1989-03-01,323.5
1989-03-08,324.0
1989-03-15,324.1
1989-03-22,323.7
1989-03-29,324.3
1989-04-05,324.0
1989-04-12,323.8
1989-04-19,323.7
1989-04-26,323.3
1989-05-03,322.8
1989-05-10,322.9
1989-05-17,
1989-05-24,
1989-05-31,
1989-06-07,321.3
1989-06-14,320.8
1989-06-21,319.1
1989-06-28,319.6
1989-07-05,319.9
1989-07-12,318.2
1989-07-19,318.4
1989-07-26,318.3
1989-08-02,317.9
1989-08-09,317.9
1989-08-16,318.2
1989-08-23,318.6
1989-08-30,318.3
1989-09-06,
1989-09-13,319.5
1989-09-20,320.0
1989-09-27,320.2
1989-10-04,320.8
1989-10-11,320.8
1989-10-18,321.1
1989-10-25,321.3
1989-11-01,321.3
1989-11-08,321.9
1989-11-15,322.9
1989-11-22,
1989-11-29,
1989-12-06,322.1
1989-12-13,322.2
1989-12-20,322.8
1989-12-27,322.6
1990-01-03,322.9
1990-01-10,322.6
1990-01-17,323.3
1990-01-24,323.2
1990-01-31,323.1
1990-02-07,324.2
1990-02-14,324.4
1990-02-21,324.6
1990-02-28,325.1
1990-03-07,325.2
1990-03-14,324.7
1990-03-21,325.0
1990-03-28,324.9
1990-04-04,324.9
1990-04-11,324.6
1990-04-18,323.3
1990-04-25,323.5
1990-05-02,322.8
1990-05-09,322.8
1990-05-16,322.4
1990-05-23,322.4
1990-05-30,322.0
1990-06-06,321.6
1990-06-13,321.4
1990-06-20,320.4
1990-06-27,320.0
1990-07-04,320.0
1990-07-11,319.4
1990-07-18,319.3
1990-07-25,319.0
1990-08-01,318.8
1990-08-08,318.8
1990-08-15,319.8
1990-08-22,319.4
1990-08-29,319.8
1990-09-05,320.0
1990-09-12,320.3
1990-09-19,320.9
1990-09-26,321.5
1990-10-03,321.4
1990-10-10,321.8
1990-10-17,322.2
1990-10-24,321.9
1990-10-31,322.3
1990-11-07,322.4
1990-11-14,322.5
1990-11-21,322.5
1990-11-28,322.8
1990-12-05,322.6
1990-12-12,323.1
1990-12-19,323.4
1990-12-26,323.1
1991-01-02,323.1
1991-01-09,323.8
1991-01-16,323.8
1991-01-23,324.2
1991-01-30,324.7
1991-02-06,324.7
1991-02-13,325.0
1991-02-20,324.8
1991-02-27,325.4
1991-03-06,325.6
1991-03-13,325.0
1991-03-20,325.5
1991-03-27,325.8
1991-04-03,325.6
1991-04-10,325.7
1991-04-17,325.5
1991-04-24,324.9
1991-05-01,324.6
1991-05-08,324.7
1991-05-15,324.1
1991-05-22,323.9
1991-05-29,323.4
1991-06-05,322.4
1991-06-12,322.2
1991-06-19,322.0
1991-06-26,321.7
1991-07-03,321.4
1991-07-10,320.4
1991-07-17,321.1
1991-07-24,319.7
1991-07-31,319.8
1991-08-07,320.5
1991-08-14,320.5
1991-08-21,320.2
1991-08-28,319.9
1991-09-04,320.7
1991-09-11,320.8
1991-09-18,321.4
1991-09-25,321.7
1991-10-02,322.0
1991-10-09,322.4
1991-10-16,322.9
1991-10-23,323.3
1991-10-30,323.1
1991-11-06,323.3
1991-11-13,324.0
1991-11-20,324.3
1991-11-27,324.1
1991-12-04,324.1
1991-12-11,323.9
1991-12-18,324.3
1991-12-25,324.8
1992-01-01,325.1
1992-01-08,325.5
1992-01-15,325.7
1992-01-22,325.9
1992-01-29,325.8
1992-02-05,326.2
1992-02-12,327.1
1992-02-19,326.5
1992-02-26,326.5
1992-03-04,327.5
1992-03-11,327.8
1992-03-18,326.8
1992-03-25,326.9
1992-04-01,327.4
1992-04-08,326.5
1992-04-15,326.7
1992-04-22,326.7
1992-04-29,326.3
1992-05-06,326.1
1992-05-13,326.0
1992-05-20,325.7
1992-05-27,325.4
1992-06-03,324.5
1992-06-10,324.5
1992-06-17,323.1
1992-06-24,322.5
1992-07-01,323.1
1992-07-08,322.2
1992-07-15,322.7
1992-07-22,322.8
1992-07-29,321.9
1992-08-05,321.5
1992-08-12,321.8
1992-08-19,322.0
1992-08-26,321.9
1992-09-02,322.2
1992-09-09,322.6
1992-09-16,322.7
1992-09-23,323.1
1992-09-30,323.5
1992-10-07,323.9
1992-10-14,323.9
1992-10-21,324.2
1992-10-28,324.5
1992-11-04,324.7
1992-11-11,325.4
1992-11-18,325.0
1992-11-25,324.8
1992-12-02,325.5
1992-12-09,325.7
1992-12-16,326.0
1992-12-23,326.3
1992-12-30,326.1
1993-01-06,326.8
1993-01-13,326.8
1993-01-20,327.5
1993-01-27,326.9
1993-02-03,328.2
1993-02-10,327.8
1993-02-17,327.8
1993-02-24,328.5
1993-03-03,327.9
1993-03-10,327.5
1993-03-17,328.0
1993-03-24,328.3
1993-03-31,327.9
1993-04-07,327.5
1993-04-14,327.8
1993-04-21,327.7
1993-04-28,327.2
1993-05-05,327.2
1993-05-12,326.2
1993-05-19,326.2
1993-05-26,325.6
1993-06-02,325.2
1993-06-09,325.2
1993-06-16,324.8
1993-06-23,324.8
1993-06-30,323.3
1993-07-07,322.9
1993-07-14,323.5
1993-07-21,323.1
1993-07-28,323.1
1993-08-04,323.2
1993-08-11,323.5
1993-08-18,322.9
1993-08-25,323.0
1993-09-01,323.1
1993-09-08,323.6
1993-09-15,323.7
1993-09-22,324.2
1993-09-29,324.7
1993-10-06,324.7
1993-10-13,325.0
1993-10-20,325.2
1993-10-27,325.5
1993-11-03,325.7
1993-11-10,325.8
1993-11-17,325.9
1993-11-24,326.7
1993-12-01,326.6
1993-12-08,326.5
1993-12-15,326.4
1993-12-22,326.7
1993-12-29,327.0
1994-01-05,327.1
1994-01-12,327.3
1994-01-19,327.0
1994-01-26,327.4
1994-02-02,327.4
1994-02-09,327.1
1994-02-16,327.7
1994-02-23,328.5
1994-03-02,328.2
1994-03-09,329.0
1994-03-16,329.2
1994-03-23,328.9
1994-03-30,328.8
1994-04-06,328.5
1994-04-13,328.8
1994-04-20,328.1
1994-04-27,328.5
1994-05-04,327.9
1994-05-11,327.8
1994-05-18,327.5
1994-05-25,326.2
1994-06-01,326.7
1994-06-08,326.1
1994-06-15,325.6
1994-06-22,325.3
1994-06-29,324.0
1994-07-06,323.6
1994-07-13,323.5
1994-07-20,323.2
1994-07-27,323.3
1994-08-03,323.3
1994-08-10,322.9
1994-08-17,323.5
1994-08-24,323.6
1994-08-31,324.4
1994-09-07,324.3
1994-09-14,324.5
1994-09-21,325.0
1994-09-28,325.5
1994-10-05,325.3
1994-10-12,325.9
1994-10-19,326.2
1994-10-26,326.3
1994-11-02,326.6
1994-11-09,326.6
1994-11-16,326.6
1994-11-23,326.6
1994-11-30,327.2
1994-12-07,327.4
1994-12-14,327.9
1994-12-21,327.8
1994-12-28,327.4
1995-01-04,327.5
1995-01-11,327.1
1995-01-18,327.7
1995-01-25,328.6
1995-02-01,328.9
1995-02-08,329.4
1995-02-15,329.8
1995-02-22,330.1
1995-03-01,330.0
1995-03-08,330.0
1995-03-15,329.7
1995-03-22,330.1
1995-03-29,330.2
1995-04-05,329.7
1995-04-12,329.1
1995-04-19,329.0
1995-04-26,328.5
1995-05-03,328.6
1995-05-10,328.3
1995-05-17,327.7
1995-05-24,328.1
1995-05-31,327.5
1995-06-07,326.9
1995-06-14,326.6
1995-06-21,326.5
1995-06-28,325.0
1995-07-05,325.4
1995-07-12,325.7
1995-07-19,324.8
1995-07-26,324.2
1995-08-02,324.2
1995-08-09,324.8
1995-08-16,325.5
1995-08-23,325.1
1995-08-30,325.8
1995-09-06,326.3
1995-09-13,326.1
1995-09-20,326.4
1995-09-27,326.9
1995-10-04,326.9
1995-10-11,327.1
1995-10-18,327.6
1995-10-25,327.9
1995-11-01,328.2
1995-11-08,328.4
1995-11-15,328.4
1995-11-22,328.6
1995-11-29,328.8
1995-12-06,329.1
1995-12-13,329.5
1995-12-20,329.6
1995-12-27,329.7
1996-01-03,329.9
1996-01-10,330.1
1996-01-17,330.5
1996-01-24,330.8
1996-01-31,330.6
1996-02-07,331.2
1996-02-14,331.1
1996-02-21,331.9
1996-02-28,332.1
1996-03-06,332.2
1996-03-13,332.3
1996-03-20,332.6
1996-03-27,332.5
1996-04-03,332.2
1996-04-10,332.5
1996-04-17,332.0
1996-04-24,331.6
1996-05-01,331.4
1996-05-08,331.5
1996-05-15,331.0
1996-05-22,330.0
1996-05-29,330.1
1996-06-05,330.0
1996-06-12,329.5
1996-06-19,329.3
1996-06-26,328.5
1996-07-03,328.4
1996-07-10,327.6
1996-07-17,327.8
1996-07-24,327.1
1996-07-31,326.6
1996-08-07,327.0
1996-08-14,327.4
1996-08-21,327.4
1996-08-28,327.1
1996-09-04,327.5
1996-09-11,328.0
1996-09-18,328.2
1996-09-25,328.5
1996-10-02,329.0
1996-10-09,328.7
1996-10-16,328.6
1996-10-23,328.2
1996-10-30,328.7
1996-11-06,328.9
1996-11-13,329.2
1996-11-20,329.4
1996-11-27,329.8
1996-12-04,330.5
1996-12-11,330.8
1996-12-18,330.6
1996-12-25,330.6
1997-01-01,330.7
1997-01-08,331.2
1997-01-15,332.1
1997-01-22,332.0
1997-01-29,331.5
1997-02-05,332.4
1997-02-12,332.1
1997-02-19,332.9
1997-02-26,333.1
1997-03-05,332.9
1997-03-12,333.0
1997-03-19,333.2
1997-03-26,332.8
1997-04-02,332.9
1997-04-09,332.0
1997-04-16,332.0
1997-04-23,332.2
1997-04-30,331.7
1997-05-07,331.7
1997-05-14,331.2
1997-05-21,330.4
1997-05-28,331.0
1997-06-04,330.0
1997-06-11,329.9
1997-06-18,329.2
1997-06-25,328.9
1997-07-02,328.1
1997-07-09,328.0
1997-07-16,327.3
1997-07-23,326.9
1997-07-30,327.3
1997-08-06,327.3
1997-08-13,327.0
1997-08-20,327.5
1997-08-27,327.7
1997-09-03,327.9
1997-09-10,328.0
1997-09-17,328.8
1997-09-24,328.6
1997-10-01,328.7
1997-10-08,329.5
1997-10-15,329.7
1997-10-22,329.8
1997-10-29,329.7
1997-11-05,329.9
1997-11-12,329.8
1997-11-19,330.2
1997-11-26,331.1
1997-12-03,331.1
1997-12-10,331.4
1997-12-17,331.0
1997-12-24,331.7
1997-12-31,331.8
1998-01-07,331.6
1998-01-14,331.9
1998-01-21,332.2
1998-01-28,332.5
1998-02-04,333.0
1998-02-11,333.5
1998-02-18,333.5
1998-02-25,333.1
1998-03-04,333.9
1998-03-11,333.9
1998-03-18,333.7
1998-03-25,333.7
1998-04-01,334.1
1998-04-08,333.8
1998-04-15,333.3
1998-04-22,333.4
1998-04-29,333.1
1998-05-06,332.7
1998-05-13,332.0
1998-05-20,331.0
1998-05-27,331.5
1998-06-03,330.8
1998-06-10,330.7
1998-06-17,330.3
1998-06-24,329.3
1998-07-01,328.8
1998-07-08,329.4
1998-07-15,328.5
1998-07-22,328.0
1998-07-29,328.2
1998-08-05,328.0
1998-08-12,328.0
1998-08-19,328.5
1998-08-26,328.8
1998-09-02,329.3
1998-09-09,329.2
1998-09-16,329.1
1998-09-23,329.5
1998-09-30,330.1
1998-10-07,330.3
1998-10-14,330.5
1998-10-21,331.1
1998-10-28,331.2
1998-11-04,331.5
1998-11-11,331.5
1998-11-18,331.7
1998-11-25,331.8
1998-12-02,332.2
1998-12-09,332.1
1998-12-16,332.5
1998-12-23,333.2
1998-12-30,332.4
1999-01-06,332.8
1999-01-13,333.6
1999-01-20,333.1
1999-01-27,334.3
1999-02-03,334.7
1999-02-10,334.2
1999-02-17,334.4
1999-02-24,334.5
1999-03-03,334.7
1999-03-10,334.3
1999-03-17,334.6
1999-03-24,335.4
1999-03-31,334.8
1999-04-07,334.3
1999-04-14,334.6
1999-04-21,334.3
1999-04-28,
1999-05-05,333.6
1999-05-12,333.4
1999-05-19,332.8
1999-05-26,332.4
1999-06-02,332.1
1999-06-09,331.7
1999-06-16,330.6
1999-06-23,330.6
1999-06-30,330.0
1999-07-07,329.7
1999-07-14,330.0
1999-07-21,329.3
1999-07-28,328.4
1999-08-04,328.8
1999-08-11,329.0
1999-08-18,329.6
1999-08-25,329.1
1999-09-01,329.0
1999-09-08,329.8
1999-09-15,330.4
1999-09-22,330.5
1999-09-29,330.7
1999-10-06,331.1
1999-10-13,331.3
1999-10-20,331.9
1999-10-27,332.2
1999-11-03,332.5
1999-11-10,332.4
1999-11-17,333.1
1999-11-24,333.2
1999-12-01,333.2
1999-12-08,333.4
1999-12-15,333.3
1999-12-22,333.4
1999-12-29,333.6
2000-01-05,334.1
2000-01-12,334.6
2000-01-19,335.1
2000-01-26,335.0
2000-02-02,335.5
2000-02-09,335.9
2000-02-16,336.0
2000-02-23,336.1
2000-03-01,336.7
2000-03-08,336.8
2000-03-15,336.4
2000-03-22,336.8
2000-03-29,336.7
2000-04-05,336.4
2000-04-12,336.3
2000-04-19,336.1
2000-04-26,336.0
2000-05-03,335.5
2000-05-10,335.1
2000-05-17,335.1
2000-05-24,334.6
2000-05-31,333.7
2000-06-07,333.0
2000-06-14,332.9
2000-06-21,332.8
2000-06-28,332.8
2000-07-05,332.1
2000-07-12,331.2
2000-07-19,332.1
2000-07-26,330.9
2000-08-02,330.4
2000-08-09,330.9
2000-08-16,331.5
2000-08-23,331.5
2000-08-30,331.7
2000-09-06,332.1
2000-09-13,332.0
2000-09-20,332.5
2000-09-27,332.8
2000-10-04,333.2
2000-10-11,333.5
2000-10-18,333.8
2000-10-25,334.2
2000-11-01,334.6
2000-11-08,334.2
2000-11-15,334.6
2000-11-22,335.4
2000-11-29,335.9
2000-12-06,335.0
2000-12-13,335.1
2000-12-20,335.6
2000-12-27,335.7
2001-01-03,336.2
2001-01-10,336.1
2001-01-17,336.8
2001-01-24,337.3
2001-01-31,337.0
2001-02-07,337.9
2001-02-14,337.9
2001-02-21,337.4
2001-02-28,338.0
2001-03-07,338.0
2001-03-14,338.1
2001-03-21,337.8
2001-03-28,337.9
2001-04-04,338.4
2001-04-11,338.2
2001-04-18,337.8
2001-04-25,337.3
2001-05-02,337.6
2001-05-09,336.7
2001-05-16,336.7
2001-05-23,335.9
2001-05-30,335.6
2001-06-06,335.1
2001-06-13,334.8
2001-06-20,334.4
2001-06-27,334.3
2001-07-04,333.8
2001-07-11,332.8
2001-07-18,332.1
2001-07-25,332.3
2001-08-01,332.7
2001-08-08,332.1
2001-08-15,332.4
2001-08-22,333.0
2001-08-29,333.1
2001-09-05,333.5
2001-09-12,333.8
2001-09-19,333.8
2001-09-26,334.2
2001-10-03,334.5
2001-10-10,334.8
2001-10-17,335.1
2001-10-24,335.1
2001-10-31,335.3
2001-11-07,335.3
2001-11-14,335.9
2001-11-21,336.8
2001-11-28,336.9
2001-12-05,336.9
2001-12-12,336.5
2001-12-19,336.7
2001-12-26,336.7
2002-01-02,337.1
2002-01-09,337.7
2002-01-16,337.4
2002-01-23,339.0
2002-01-30,338.8
2002-02-06,338.1
2002-02-13,338.6
2002-02-20,339.2
2002-02-27,339.6
2002-03-06,339.3
2002-03-13,338.8
2002-03-20,339.8
2002-03-27,339.6
2002-04-03,339.9
2002-04-10,339.5
2002-04-17,338.9
2002-04-24,338.9
2002-05-01,339.0
2002-05-08,338.2
2002-05-15,337.8
2002-05-22,337.3
2002-05-29,336.8
2002-06-05,337.0
2002-06-12,336.5
2002-06-19,336.1
2002-06-26,334.5
2002-07-03,334.4
2002-07-10,334.0
2002-07-17,334.2
2002-07-24,333.2
2002-07-31,334.1
2002-08-07,334.1
2002-08-14,333.9
2002-08-21,333.7
2002-08-28,334.1
2002-09-04,334.7
2002-09-11,334.8
2002-09-18,335.5
2002-09-25,335.6
2002-10-02,335.9
2002-10-09,336.5
2002-10-16,336.7
2002-10-23,336.8
2002-10-30,337.4
2002-11-06,337.6
2002-11-13,337.4
2002-11-20,338.3
2002-11-27,338.4
2002-12-04,338.0
2002-12-11,338.1
2002-12-18,338.6
2002-12-25,338.2
2003-01-01,339.3
2003-01-08,339.5
2003-01-15,340.0
2003-01-22,340.5
2003-01-29,341.0
2003-02-05,340.4
2003-02-12,340.9
2003-02-19,340.7
2003-02-26,341.0
2003-03-05,341.5
2003-03-12,341.3
2003-03-19,341.3
2003-03-26,340.9
2003-04-02,341.7
2003-04-09,341.3
2003-04-16,341.3
2003-04-23,340.8
2003-04-30,340.4
2003-05-07,340.4
2003-05-14,339.7
2003-05-21,338.5
2003-05-28,338.9
2003-06-04,337.9
2003-06-11,337.7
2003-06-18,337.7
2003-06-25,337.7
2003-07-02,337.0
2003-07-09,336.6
2003-07-16,335.7
2003-07-23,335.2
2003-07-30,336.0
2003-08-06,335.8
2003-08-13,335.8
2003-08-20,336.1
2003-08-27,336.4
2003-09-03,336.6
2003-09-10,336.9
2003-09-17,337.1
2003-09-24,337.3
2003-10-01,337.4
2003-10-08,337.7
2003-10-15,338.1
2003-10-22,338.3
2003-10-29,338.7
2003-11-05,338.9
2003-11-12,339.1
2003-11-19,339.3
2003-11-26,339.3
2003-12-03,339.5
2003-12-10,340.5
2003-12-17,340.0
2003-12-24,340.2
2003-12-31,341.1
2004-01-07,340.7
2004-01-14,341.0
2004-01-21,341.8
2004-01-28,342.1
2004-02-04,342.4
2004-02-11,342.4
2004-02-18,342.7
2004-02-25,342.3
2004-03-03,342.9
2004-03-10,343.0
2004-03-17,342.8
2004-03-24,342.7
2004-03-31,342.7
2004-04-07,342.6
2004-04-14,342.5
2004-04-21,341.8
2004-04-28,341.6
2004-05-05,341.0
2004-05-12,340.8
2004-05-19,339.7
2004-05-26,340.2
2004-06-02,339.5
2004-06-09,338.9
2004-06-16,338.4
2004-06-23,337.5
2004-06-30,337.7
2004-07-07,337.2
2004-07-14,337.0
2004-07-21,336.7
2004-07-28,335.9
2004-08-04,336.3
2004-08-11,336.6
2004-08-18,337.1
2004-08-25,337.2
2004-09-01,337.5
2004-09-08,337.8
2004-09-15,338.1
2004-09-22,338.5
2004-09-29,339.3
2004-10-06,339.2
2004-10-13,339.4
2004-10-20,339.6
2004-10-27,340.2
2004-11-03,340.2
2004-11-10,340.3
2004-11-17,340.7
2004-11-24,341.1
2004-12-01,341.2
2004-12-08,341.9
2004-12-15,341.1
2004-12-22,341.1
2004-12-29,342.1
2005-01-05,342.6
2005-01-12,342.6
2005-01-19,342.7
2005-01-26,342.8
2005-02-02,342.9
2005-02-09,343.3
2005-02-16,343.5
2005-02-23,344.2
2005-03-02,343.8
2005-03-09,343.6
2005-03-16,344.2
2005-03-23,344.1
2005-03-30,344.1
2005-04-06,343.4
2005-04-13,343.5
2005-04-20,343.4
2005-04-27,342.9
2005-05-04,342.5
2005-05-11,342.0
2005-05-18,342.0
2005-05-25,341.8
2005-06-01,341.3
2005-06-08,340.5
2005-06-15,340.0
2005-06-22,339.7
2005-06-29,338.3
2005-07-06,338.8
2005-07-13,338.6
2005-07-20,337.8
2005-07-27,336.9
2005-08-03,337.3
2005-08-10,338.0
2005-08-17,337.6
2005-08-24,337.9
2005-08-31,338.7
2005-09-07,338.4
2005-09-14,339.2
